event_id,event_split,event,event_region,event_phase
615348f9f8090ec7452868f6,Winter,Regional 2,Oceania,Closed Qualifier
615350ea143c37878b2380a1,Winter,Regional 2,Asia-Pacific South,Closed Qualifier
615345bdf8090ec7452868f4,Winter,Regional 2,North America,Closed Qualifier
615348f9f8090ec7452868f6,Winter,Regional 2,Oceania,Main Event
615350ea143c37878b2380a1,Winter,Regional 2,Asia-Pacific South,Main Event
615345bdf8090ec7452868f4,Winter,Regional 2,North America,Main Event
61534e47f8090ec745286962,Winter,Regional 2,Asia-Pacific North,Closed Qualifier
61535641f8090ec745286983,Winter,Regional 2,Sub-Saharan Africa,Closed Qualifier
615340a6143c37878b237fd3,Winter,Regional 2,Europe,Closed Qualifier
61534d16143c37878b238053,Winter,Regional 2,South America,Closed Qualifier
61534e47f8090ec745286962,Winter,Regional 2,Asia-Pacific North,Main Event
61535641f8090ec745286983,Winter,Regional 2,Sub-Saharan Africa,Main Event
615340a6143c37878b237fd3,Winter,Regional 2,Europe,Main Event
61534d16143c37878b238053,Winter,Regional 2,South America,Main Event
615354d5f8090ec745286981,Winter,Regional 3,Middle East & North Africa,Closed Qualifier
615354d5f8090ec745286981,Winter,Regional 3,Middle East & North Africa,Main Event
615349d7143c37878b237fd7,Winter,Regional 3,Oceania,Closed Qualifier
615351d2143c37878b2380a2,Winter,Regional 3,Asia-Pacific South,Closed Qualifier
615346e4f8090ec7452868f5,Winter,Regional 3,North America,Closed Qualifier
615349d7143c37878b237fd7,Winter,Regional 3,Oceania,Main Event
615351d2143c37878b2380a2,Winter,Regional 3,Asia-Pacific South,Main Event
615346e4f8090ec7452868f5,Winter,Regional 3,North America,Main Event
61534ae3143c37878b237fe1,Winter,Regional 3,South America,Closed Qualifier
61534ef7f8090ec745286963,Winter,Regional 3,Asia-Pacific North,Closed Qualifier
615356c9143c37878b2380a4,Winter,Regional 3,Sub-Saharan Africa,Closed Qualifier
615342b3143c37878b237fd4,Winter,Regional 3,Europe,Closed Qualifier
61534ef7f8090ec745286963,Winter,Regional 3,Asia-Pacific North,Main Event
615356c9143c37878b2380a4,Winter,Regional 3,Sub-Saharan Africa,Main Event
615342b3143c37878b237fd4,Winter,Regional 3,Europe,Main Event
61534ae3143c37878b237fe1,Winter,Regional 3,South America,Main Event
620bf77fda9d7ca1c7ba8719,Winter,APAC Qualifier,Asia-Pacific,Main Event
614b6649f8090ec745286427,Winter,Major,World,Main Event
